Payment Date,Benificiary Name,Amount
2012-12-12,AZZURRI COMMUNICATIONS LTD,12.56
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,34.38
2012-12-12,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,15.34
2012-12-12,AZZURRI COMMUNICATIONS LTD,45.84
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-12,AZZURRI COMMUNICATIONS LTD,23.50
2012-12-12,AZZURRI COMMUNICATIONS LTD,68.76
2012-12-12,AZZURRI COMMUNICATIONS LTD,57.30
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,34.38
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,35.84
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,61.78
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,71.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,49.26
2012-12-12,AZZURRI COMMUNICATIONS LTD,663.38
2012-12-12,AZZURRI COMMUNICATIONS LTD,34.74
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-12,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,67.36
2012-12-12,AZZURRI COMMUNICATIONS LTD,41.10
2012-12-12,AZZURRI COMMUNICATIONS LTD,189.25
2012-12-12,AZZURRI COMMUNICATIONS LTD,315.20
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,1.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,40.64
2012-12-12,AZZURRI COMMUNICATIONS LTD,26.80
2012-12-12,AZZURRI COMMUNICATIONS LTD,17.90
2012-12-12,AZZURRI COMMUNICATIONS LTD,98.34
2012-12-12,AZZURRI COMMUNICATIONS LTD,129.25
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,34.38
2012-12-12,AZZURRI COMMUNICATIONS LTD,45.84
2012-12-12,AZZURRI COMMUNICATIONS LTD,265.72
2012-12-12,AZZURRI COMMUNICATIONS LTD,23.03
2012-12-12,AZZURRI COMMUNICATIONS LTD,122.36
